date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:19:33	10546/10546	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:34%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/sale/13.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/sale/13.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:33	12610/12610	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:34%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/one-helf1.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/one-helf1.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:34	11486/11486	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:35%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/one-helf2.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/one-helf2.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:34	7736/7736	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:35%20GMT	https://htmldemo.net/bstore/bstore/assets/images/latest-news/1.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/latest-news/1.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:34	6530/6530	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:35%20GMT	https://htmldemo.net/bstore/bstore/assets/images/latest-news/2.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/latest-news/2.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:34	6012/6012	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:35%20GMT	https://htmldemo.net/bstore/bstore/assets/images/latest-news/3.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/latest-news/3.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:34	7698/7698	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:35%20GMT	https://htmldemo.net/bstore/bstore/assets/images/latest-news/4.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/latest-news/4.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:35	6530/6530	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:36%20GMT	https://htmldemo.net/bstore/bstore/assets/images/latest-news/5.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/latest-news/5.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:35	7736/7736	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:36%20GMT	https://htmldemo.net/bstore/bstore/assets/images/latest-news/6.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/latest-news/6.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:35	2934/2934	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:36%20GMT	https://htmldemo.net/bstore/bstore/assets/images/brand/1.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/brand/1.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:35	2324/2324	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:36%20GMT	https://htmldemo.net/bstore/bstore/assets/images/brand/2.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/brand/2.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:35	2126/2126	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:37%20GMT	https://htmldemo.net/bstore/bstore/assets/images/brand/3.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/brand/3.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:36	2144/2144	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:37%20GMT	https://htmldemo.net/bstore/bstore/assets/images/brand/4.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/brand/4.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:36	2390/2390	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:37%20GMT	https://htmldemo.net/bstore/bstore/assets/images/brand/5.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/brand/5.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:36	3294/3294	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:37%20GMT	https://htmldemo.net/bstore/bstore/assets/images/payment.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/payment.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:36	8608/8608	---MCZ	200	added ('OK')	application/javascript	etag:W/%22638b3c24-21a0%22	https://htmldemo.net/bstore/bstore/assets/js/vendor/modernizr-3.11.2.min.js	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/js/vendor/modernizr-3.11.2.min.js	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:37	89503/89503	---MCZ	200	added ('OK')	application/javascript	etag:W/%22638b3c25-15d9f%22	https://htmldemo.net/bstore/bstore/assets/js/vendor/jquery-3.6.0.min.js	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/js/vendor/jquery-3.6.0.min.js	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:37	18761/18761	---MCZ	200	added ('OK')	application/javascript	etag:W/%22638b3bf0-4949%22	https://htmldemo.net/bstore/bstore/assets/js/popper.min.js	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/js/popper.min.js	(from https://htmldemo.net/bstore/bstore/index.html)
